Year,state_id,Production(BU),Plant_Area(km^2),Harvest_Area(km^2),State_Code,State_Name
1985,21,895366.3307,125.9763555,125.9763555,MA,MASSACHUSETTS
1985,22,56496132.31,9368.164856,9357.719627,MI,MICHIGAN
1985,23,120454582.1,34241.98029,33026.37753,MN,MINNESOTA
1985,24,17816143.94,4354.832638,4354.832638,MS,MISSISSIPPI
1985,25,166446345.5,25349.81631,25335.08195,MO,MISSOURI
1985,26,0,0,0,MT,MONTANA
1985,27,11940474.59,13438.25296,10466.23986,NE,NEBRASKA
1985,28,0,0,0,NV,NEVADA
1985,29,398781.9384,60.37585272,60.37585272,NH,NEW HAMPSHIRE
1985,30,2008872.444,570.1664626,570.1664626,NJ,NEW JERSEY
1985,31,35757.44111,54.98647849,38.8899542,NM,NEW MEXICO
1985,32,11534693.31,2027.724746,2027.724746,NY,NEW YORK
1985,33,47917548.91,5167.218968,5167.218968,NC,NORTH CAROLINA
1985,34,12853300.59,10503.71186,5619.619542,ND,NORTH DAKOTA
1985,35,203232707.5,21802.48782,21802.48782,OH,OHIO
1985,36,961579.5483,1972.249644,1088.38142,OK,OKLAHOMA
1985,37,0,0,0,OR,OREGON
1985,38,13636330.45,3040.736159,2929.269402,PA,PENNSYLVANIA
1985,39,0,0,0,RI,RHODE ISLAND
1985,40,22039096.35,2524.634023,2524.634023,SC,SOUTH CAROLINA
1985,41,20624007.49,27631.00161,20773.37525,SD,SOUTH DAKOTA
1985,42,37921611.08,5625.941217,5625.941217,TN,TENNESSEE
1985,43,541384.9192,1889.734637,959.3011463,TX,TEXAS
1985,44,0,0,0,UT,UTAH
1985,45,1668701.167,264.3619237,264.3619237,VT,VERMONT
1985,46,18759672.38,2621.345352,2616.790896,VA,VIRGINIA
1985,47,0,0,0,WA,WASHINGTON
1985,48,5074655.609,586.8848462,579.4204228,WV,WEST VIRGINIA
1985,49,29123897.84,7212.638452,7188.642618,WI,WISCONSIN
1985,50,0,0,0,WY,WYOMING
1986,0,6439513.128,1424.932558,1424.932558,AL,ALABAMA
1986,2,0,0,0,AZ,ARIZONA
1986,3,2331867.047,2600.8293,2020.548167,AR,ARKANSAS
1986,4,0,0,0,CA,CALIFORNIA
1986,5,211561.3645,303.8640459,227.4647115,CO,COLORADO
1986,6,189589.7042,21.73625011,21.73625011,CT,CONNECTICUT
1986,7,6565569.615,722.7069751,722.7069751,DE,DELAWARE
1986,8,6816.511041,0.665266321,0.665266321,DC,DISTRICT OF COLUMBIA
