Year,Units,scenario,region,sector,value
2055,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.121072
2056,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1194808
2057,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1178896
2058,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1162984
2059,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1147072
2060,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.113116
2061,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11304299999999999
2062,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11297
2063,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.112897
2064,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11282400000000001
2065,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.112751
2066,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1146564
2067,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11656180000000001
2068,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1184672
2069,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1203726
2070,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.122278
2071,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.119084
2072,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11588999999999999
2073,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11269599999999999
2074,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.109502
2075,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.106308
2076,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1086592
2077,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1110104
2078,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1133616
2079,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1157128
2080,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.118064
2081,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1181678
2082,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1182716
2083,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11837539999999999
2084,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11847919999999999
2085,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.118583
2086,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1171204
2087,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11565779999999999
2088,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1141952
2089,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11273259999999999
2090,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11127
2091,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.112454
2092,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.113638
2093,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.114822
2094,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.116006
2095,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11719
2096,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11543780000000001
2097,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1136856
2098,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.1119334
2099,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.11018119999999999
2100,1975$/kg,rcp85cooler_ssp5,USA,OilCrop,0.108429
1975,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1976,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1977,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1978,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1979,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1980,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1981,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1982,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1983,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1984,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1985,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1986,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1987,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1988,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1989,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1990,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1991,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1992,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1993,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1994,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1995,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1996,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
1997,1975$/kg,rcp85cooler_ssp5,USA,Wheat,0.0734
